District_Colline,Latitude,Longitude,"(Latitude,Longitude)"
Bugendana_Muyange MUT II,-3.2151583,29.8315698,"-3.2151583,29.8315698"
Bugendana_Muyange MUT I,-3.2190592,29.8477278,"-3.2190592,29.8477278"
Bweru_Intende,-3.4328348,30.4901828,"-3.4328348,30.4901828"
Bugendana_Jenda II,-3.2846988,29.9223857,"-3.2846988,29.9223857"
Bugendana_Jenda I,-3.2844944,29.9231054,"-3.2844944,29.9231054"
Butaganzwa_Mihama,-3.5034474,30.0873062,"-3.5034474,30.0873062"
Gishubi_Ndava,-3.7470441,29.8054302,"-3.7470441,29.8054302"
Matongo_Ruvumu,-3.0652343,29.6167847,"-3.0652343,29.6167847"
Gasorwe_Gishambusha,-2.8219957,30.1416222,"-2.8219957,30.1416222"
Gasorwe_Cihonda,-2.8225963,30.1416041,"-2.8225963,30.1416041"
Gasorwe_Kagari,-2.7923983,30.1088882,"-2.7923983,30.1088882"
Makebuko_Gasenyi,-3.6526107,29.9341208,"-3.6526107,29.9341208"
